Feature,Importance
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+9,0.0006187112854569866
speed_of_bcl_in_xyz_t-6,0.0006168002249932508
speed_of_nose_in_xyz_t-9,0.0006164568729133341
height_of_bcr_t+1,0.0006151966773161235
speed_of_tailbase_in_xyz_t+14,0.000612308351132325
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t-4,0.0006088623982329943
standard_deviation_headcentre_t-10,0.000608115434527922
distance_between_bcl_and_hipl_on_y_t-14,0.0006073054542826374
distance_between_neck_and_bcl_on_y_t-12,0.0006067508126639726
distance_between_bcr_and_hipr_on_z_t-4,0.000606371415217598
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t+12,0.0006037340767203403
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t+7,0.0006022301329203162
distance_between_neck_and_bodycentre_on_x_t-15,0.0006014417151282122
distance_between_bodycentre_and_tailbase_on_y_t-12,0.0006011179810970442
distance_between_neck_and_bcr_on_x_t+1,0.0006009153213544097
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t-9,0.0006002263114783471
height_of_neck_t-4,0.0005995360972905086
height_of_earl_t-15,0.0005983493918196297
distance_between_neck_and_bodycentre_on_x_t-7,0.0005982016147284035
distance_between_hipl_and_tailbase_on_x_t+10,0.0005977132363699391
standard_deviation_headcentre_t-11,0.0005971631292834512
height_of_neck_t-6,0.0005970707652182643
distance_between_bcl_and_hipl_on_z_t+8,0.0005968874874364946
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t+10,0.0005945260598001017
distance_between_bcl_and_hipl_on_z_t-1,0.0005942435392667735
height_of_earr_t+5,0.0005934249035759362
distance_between_bodycentre_and_tailbase_on_x_t+7,0.0005911920232068371
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t-6,0.0005905412573034379
distance_between_bodycentre_and_tailbase_on_y_t+6,0.0005892493311470629
height_of_headcentre_t+11,0.0005887636987412751
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t-11,0.0005884197772535846
distance_between_bcr_and_hipr_on_z_t+10,0.0005875287496754613
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t0,0.0005863023700465553
angle_from_bodycentre_tailbase_to_tailcentre_tailtip_in_xy_t-2,0.0005852141442772985
distance_between_bodycentre_and_tailbase_on_z_t-9,0.000581362306682087
distance_between_neck_and_bcl_on_z_t+13,0.0005802266095141869
height_of_earl_t-5,0.0005796384122818579
height_of_earr_t+4,0.0005796235260739043
height_of_neck_t+13,0.0005792963410053905
height_of_headcentre_t-13,0.0005773482440804274
distance_between_bcl_and_hipl_on_x_t+13,0.0005769203908299952
height_of_bcl_t-1,0.0005760672303325266
distance_between_bodycentre_and_tailbase_on_x_t-4,0.0005709308920396556
distance_between_bcl_and_hipl_on_y_t+9,0.0005663376724108998
distance_to_boundary_dynamic_bodycentre_in_oft_t-14,0.0005635069378939893
height_of_bcl_t+12,0.0005612991833663704
angle_from_tailbase_bodycentre_to_hipr_bcr_in_xy_t+12,0.0005590032614219826
distance_between_bodycentre_and_hipl_on_z_t+9,0.0005585039447060843
height_of_earr_t+10,0.0005575258891369394
distance_to_boundary_dynamic_bcr_in_oft_t-10,0.0005570063470842836
speed_of_hipl_in_xyz_t-10,0.0005541643375235438
distance_between_hipr_and_tailbase_on_y_t+6,0.0005536199824702523
distance_between_neck_and_bodycentre_on_z_t+7,0.0005510703551026947
distance_between_bodycentre_and_tailbase_on_z_t+10,0.0005503631958109375
angle_from_tailbase_bodycentre_to_tailbase_hipl_in_xy_t+8,0.0005488629488457858
distance_to_boundary_dynamic_tailcentre_in_oft_t+8,0.0005488270684037052
angle_from_tailbase_bodycentre_to_bodycentre_neck_in_xy_t+11,0.0005473159081745596
distance_to_boundary_dynamic_neck_in_oft_t-4,0.0005472646578743036
speed_of_earl_in_xyz_t-1,0.000546490607618384
speed_of_bcr_in_xyz_t+4,0.0005447817709984128
distance_to_boundary_dynamic_bodycentre_in_oft_t0,0.0005439017124257736
speed_of_headcentre_in_xyz_t+11,0.0005391578630852498
angle_from_tailbase_bodycentre_to_hipr_bcr_in_xy_t-2,0.0005376631921655493
distance_to_boundary_dynamic_hipr_in_oft_t+9,0.0005365363226790818
height_of_neck_t+12,0.0005332660868635096
distance_to_boundary_dynamic_earr_in_oft_t-14,0.0005305833857794414
angle_from_tailbase_bodycentre_to_hipl_bcl_in_xy_t+9,0.0005288785287791575
